Compound ID	Target ID	Target type	Acq. method	Name	S00010449	S00010450	S00010451	S00010452	S00010453	S00010454	S00010455	S00010456	S00010457	S00010458	S00010459	S00010460	S00010461	S00010462	S00010463	S00010464	S00010465	S00010466	S00010467	S00010468	S00010469	S00010470	S00010471	S00010472	S00010473	S00010474	S00010475	S00010476	S00010477	S00010478	S00010479	S00010480	S00010481	S00010482	S00010483	S00010484	S00010485	S00010486	S00010487
U02242	625480	UNIQUE	AQM003	UNKNOWN U02242, BP 521.25537, RT 2.843										16443	172095	57045		45255		173818	61620	120972	53620		41286																		
U02343	623658	UNIQUE	AQM003	UNKNOWN U02343, BP 160.10385, RT 1.524	218076	127798	224635	157948	114563	289534	218185	308724	116426	210661	142393	116073		320098	439279	199548	149903	184634	147925	302288	317813				204068	116723	102704					177803	285237					196684	
U02347	623663	UNIQUE	AQM003	UNKNOWN U02347, BP 161.09244, RT 3.3055														34845	21891																								
U02414	743328	UNIQUE	AQM003	UNKNOWN U02414, BP 355.13159, RT 3.32662																				56120	13443	368057	157633	166920				86507	11993	117710									
U02441	623666	UNIQUE	AQM003	UNKNOWN U02441, BP 162.07645, RT 3.399	1171774	3529154	1540010	1812274	2484734	2719453	2484719	1437301	3179436	2313169	1672379	1946018		2136003	1746031	1180920	1060204	805045	874952	1055371	791079	1123872	822753	693754	1312005	1362356	433816	1468593	979000	1024109		1169489	1036544	173350	130787	104411	252551	285421	189019
U02473	623188	UNIQUE	AQM003	UNKNOWN U02473, BP 108.16254, RT .8925	43155		51179	49827		39853	46777	52969	50333	36446	38709	45101		47090	41310	51919	60626	46297	52650	55049	43448	52372	50772	45104	58257	53922	23160	35802	33904	45624		14689	38133		26141	24895	47291	37595	44021
U02511	624033	UNIQUE	AQM003	UNKNOWN U02511, BP 226.14138, RT 3.157	381376	66745	396681	408676	299681	254057	145452	179677	135790	243025	207053	80597		82311	114895	294191	45816		73153	266771	305258	135974	47201	50213	52416	129387	353478	141975	73092	231238		215093	249711	66134	70867		27153	62186	42014
U02517	623818	UNIQUE	AQM003	UNKNOWN U02517, BP 185.11645, RT 3.318	154085	2058108	468755	735051	990420	3137425	1398481	546471	1676863	649725	1188993	1295665		847440	743076	509461	489781	348359	336845	1004737	659374	509188	518174	351168	534345	639549	590257	1461090	868565	843230		2180197	737744	66779		76332	42665	83392	141682
U02520	743434	UNIQUE	AQM003	UNKNOWN U02520, BP 115.03977, RT 3.22657	638198	437055																		391760	173159				498341		26090					74466						153447	
U02531	623934	UNIQUE	AQM003	UNKNOWN U02531, BP 229.11379, RT 2.632							111406	114340						136699	142455					95406	138577				130841	98858	111153					62680	115476					108650	
U02547	743461	UNIQUE	AQM003	UNKNOWN U02547, BP 786.60265, RT 5.24975				275726	33556			3957940	100797					78945	81657																								
U02550	623884	UNIQUE	AQM003	UNKNOWN U02550, BP 195.1343, RT .652	3756824	2366881	4780286	3678812	3492737	3353486	4076600	3849553	4613901	3630992	2545616	4154730		3909251	2414160	3975703	3749960	3209999	3659617	3115163	2968099	3165429	2720817	2397520	3133144	2890836	2400531	3208568	2143331	2961035		1556107	3371854	1203742	1066784	781583	996527	999786	828418
U02571	743485	UNIQUE	AQM003	UNKNOWN U02571, BP 409.18628, RT 2.87021	262365	182862	204245	200874		299921					207779	209096		157956		290902	315628	269177		222555	320911	190856	235965		291510		1301974	319697		291999		300956		457540	433848		811137	793487	
